Year,Sex,Age,Location,Quantile,Marital_status,Units,Value
2004,,,,,,PERCENT,69.3
2012,,,,,,PERCENT,63.9
2017,,,,,,PERCENT,71.35
2018,,,,,,PERCENT,73
2020,MASCULIN,,,,,PERCENT,57.1
2020,FEMININ,,,,,PERCENT,52.8
2020,,15-29,,,,PERCENT,43.7
2020,,30-49,,,,PERCENT,58.2
2020,,50-64,,,,PERCENT,58.7
2020,,65+,,,,PERCENT,50.4
2020,,,,,CELIBATAIRE,PERCENT,29.1
2020,,,,,MARIE-E- MONOGAME,PERCENT,56.9
2020,,,,,MARIE-E- POLYGAME,PERCENT,73.4
2020,,,,,UNION LIBRE,PERCENT,43.4
2020,,,,,DIVORCE-E- SEPARE-E-,PERCENT,54.6
2020,,,,,VEUF-VE,PERCENT,53.4
2020,,,RDC,,,PERCENT,56.2
2020,,,KINSHASA,,,PERCENT,17.6
2020,,,KONGO CENTRAL,,,PERCENT,42
2020,,,KWANGO,,,PERCENT,87.6
2020,,,KWILU,,,PERCENT,81
2020,,,MAI-NDOMBE,,,PERCENT,82.9
2020,,,EQUATEUR,,,PERCENT,67.2
2020,,,NORD UBANGI,,,PERCENT,70.1
2020,,,SUD UBANGI,,,PERCENT,85.2
2020,,,MONGALA,,,PERCENT,78.2
2020,,,TSHUAPA,,,PERCENT,64.3
2020,,,TSHOPO,,,PERCENT,63.7
2020,,,BAS UELE,,,PERCENT,68.6
2020,,,HAUT UELE,,,PERCENT,31.8
2020,,,ITURI,,,PERCENT,49.1
2020,,,NORD KIVU,,,PERCENT,56.5
2020,,,SUD KIVU,,,PERCENT,45.1
2020,,,MANIEMA,,,PERCENT,31.8
2020,,,HAUT KATANGA,,,PERCENT,44.9
2020,,,HAUT LOMAMI,,,PERCENT,68.4
2020,,,LUALABA,,,PERCENT,66.1
2020,,,TANGANYIKA,,,PERCENT,63.4
2020,,,LOMAMI,,,PERCENT,71
2020,,,SANKURU,,,PERCENT,82
2020,,,KASAI ORIENTAL,,,PERCENT,81.3
2020,,,KASAI ,,,PERCENT,71.5
2020,,,KASAI CENTRAL,,,PERCENT,72.7
2020,,,AUTRES URBAINS,,,PERCENT,57.6
2020,,,ENS URBAIN,,,PERCENT,45.2
2020,,,RURAL,,,PERCENT,65.4
