Year;Sex;Age;Location;Units;Value
2000;;;;CU_USD_M;193.08506
2001;;;;CU_USD_M;271.62572
2002;;;;CU_USD_M;1013.11673
2003;;;;CU_USD_M;4703.60524
2004;;;;CU_USD_M;1787.54524
2005;;;;CU_USD_M;1655.91
2006;;;;CU_USD_M;1234.60167
2007;;;;CU_USD_M;1154.30053
2008;;;;CU_USD_M;1616.67468
2009;;;;CU_USD_M;2169.73585
2010;;;;CU_USD_M;2980.25781
2011;;;;CU_USD_M;3378.94426
2012;;;;CU_USD_M;4266.92513
2013;;;;CU_USD_M;206.32631
2014;;;;CU_USD_M;2047.80635
2015;;;;CU_USD_M;2790.53623
2016;;;;CU_USD_M;1849.34121
2017;;;;CU_USD_M;2188.23791
2018;;;;CU_USD_M;838.60965
2019;;;;CU_USD_M;3256.36825
2020;;;;CU_USD_M;3476.24156
10. b.1.a Montant total des ressources allouées au développement par l'OCDE;;;;;
2010;;;;;918.995257107801
2011;;;;;731.303256891751
2012;;;;;879.755731763092
2013;;;;;824.095751982384
2014;;;;;730.823355334039
2015;;;;;714.30681545085
2016;;;;;354.82
2017;;;;;123.13
2018;;;;;
2019;;;;;
2020;;;;;
10. b.1.b Montant total des ressources allouées au développement par les Banques de développement;;;;;
2010;;;;;401.369153504973
2011;;;;;510.227570864691
2012;;;;;498.191845370367
2013;;;;;627.320214688527
2014;;;;;666.52450778
2015;;;;;549.36770807
2016;;;;;510.24
2017;;;;;480.72
2018;;;;;
2019;;;;;657.0816
2020;;;;;657.0816
10. b.1.c Montant total des ressources allouées au développement par l'Union Européenne;;;;;
2010;;;;;231.657654994194
2011;;;;;451.334265199395
2012;;;;;181.839811303089
2013;;;;;183.121976715953
2014;;;;;144.762402461126
2015;;;;;199.570863227997
2016;;;;;191.14
2017;;;;;193.71
2018;;;;;
2019;;;;;150.5812
2020;;;;;150.5812
 10. b.1.d Montant total des ressources allouées au développement par les Fonds de Développement;;;;;
2010;;;;;112.648933
2011;;;;;98.493631
2012;;;;;210.77039436
2013;;;;;89.57112386
2014;;;;;107.41532896
2015;;;;;171.729582
2016;;;;;0
2017;;;;;0
2018;;;;;
2019;;;;;410.676
2020;;;;;410.676
10. b.1.e Montant total des ressources allouées au développement par les Nations-Unies;;;;;
2010;;;;;23.173433667376
2011;;;;;6.316499231593
2012;;;;;30.43677747
2013;;;;;219.911367765264
2014;;;;;232.739250552424
2015;;;;;69.145700095038
2016;;;;;106.87
2017;;;;;125.6
2018;;;;;
2019;;;;;136.892
2020;;;;;136.892
10. b.1.f   Investissement Direct Etranger. Net;;;;;
2010;;;;;13.3
2011;;;;;6.5
2012;;;;;10.5
2013;;;;;5.2
2014;;;;;4.2
2015;;;;;3
2016;;;;;2.4
2017;;;;;2.6
2018;;;;;
2019;;;;;
2020;;;;;3.1
