Year;Sex;Age;Location;Units;Value;
2000;;;;PERCENT;39.55049;
2000;;;;PERCENT;43.35205;
2001;;;;PERCENT;39.55049;
2001;;;;PERCENT;43.35205;
2002;;;;PERCENT;39.55049;
2002;;;;PERCENT;43.35205;
2003;;;;PERCENT;39.55049;
2003;;;;PERCENT;43.35205;
2004;;;;PERCENT;39.55049;
2004;;;;PERCENT;43.35205;
2005;;;;PERCENT;39.55049;
2005;;;;PERCENT;43.35205;
2006;;;;PERCENT;40.63218;
2006;;;;PERCENT;47.52316;
2007;;;;PERCENT;40.63218;
2007;;;;PERCENT;47.52316;
2008;;;;PERCENT;47.02117;
2008;;;;PERCENT;50.30097;
2009;;;;PERCENT;47.02117;
2009;;;;PERCENT;50.30097;
2010;;;;PERCENT;47.02117;
2010;;;;PERCENT;50.30097;
2011;;;;PERCENT;47.02117;
2011;;;;PERCENT;50.30097;
2012;;;;PERCENT;47.02117;
2012;;;;PERCENT;50.30097;
2013;;;;PERCENT;47.02117;
2013;;;;PERCENT;50.30097;
2014;;;;PERCENT;47.02117;
2014;;;;PERCENT;50.30097;
2015;;;;PERCENT;47.02117;
2015;;;;PERCENT;50.30097;
2016;;;;PERCENT;47.02117;
2016;;;;PERCENT;50.30097;
2017;;;;PERCENT;52.45385;
2017;;;;PERCENT;52.66301;
2018;;;;PERCENT;52.45385;
2018;;;;PERCENT;52.66301;
2019;;;;PERCENT;52.45385;
2019;;;;PERCENT;52.66301;
2020;;;;PERCENT;52.45385;
2020;;;;PERCENT;52.66301;
2021;;;;PERCENT;52.45385;
2021;;;;PERCENT;52.66301;
;;;;;Terrestre;Eaux douces
2010;;;;PERCENT;50,3;52,25
2011;;;;PERCENT;50,3;52,25
2012;;;;PERCENT;50,3;52,25
2013;;;;PERCENT;50,3;52,25
2014;;;;PERCENT;50,3;52,25
2015;;;;PERCENT;50,3;52,25
2016;;;;PERCENT;50,3;52,25
2017;;;;PERCENT;52,66;58,28
2018;;;;PERCENT;52,66;58,28
