Year,Sex,Age,Location,Units,Value
2000,,,,CU_USD_M,94.1904
2001,,,,CU_USD_M,102.2219
2002,,,,CU_USD_M,187.59869
2003,,,,CU_USD_M,391.25472
2004,,,,CU_USD_M,409.03281
2005,,,,CU_USD_M,266.6
2006,,,,CU_USD_M,256.1189
2007,,,,CU_USD_M,1808.03272
2008,,,,CU_USD_M,1726.84338
2009,,,,CU_USD_M,663.80289
2010,,,,CU_USD_M,2939.27
2011,,,,CU_USD_M,1686.9
2012,,,,CU_USD_M,3312.14274
2013,,,,CU_USD_M,2098.2491
2014,,,,CU_USD_M,1843.17324
2015,,,,CU_USD_M,1673.5001
2016,,,,CU_USD_M,1204.70862
2017,,,,CU_USD_M,1340.2041
2018,,,,CU_USD_M,1616.79488
2019,,,,CU_USD_M,1488.05357
2020,,,,CU_USD_M,1646.92106
