Year,Sex,Age,Location,Quantile,Units,Value
2000,,,,,NUMBER,NaN
2000,,,,,NUMBER,NaN
2001,,,,,NUMBER,NaN
2002,,,,,NUMBER,NaN
2003,,,,,NUMBER,NaN
2004,,,,,NUMBER,NaN
2005,,,,,NUMBER,NaN
2005,,,,,NUMBER,NaN
2006,,,,,NUMBER,NaN
2007,,,,,NUMBER,NaN
2008,,,,,NUMBER,NaN
2009,,,,,NUMBER,NaN
2010,,,,,NUMBER,NaN
2010,,,,,NUMBER,NaN
2011,,,,,NUMBER,NaN
2012,,,,,NUMBER,NaN
2012,,,,,NUMBER,NaN
2013,,,,,NUMBER,NaN
2014,,,,,NUMBER,NaN
2014,,,,,NUMBER,NaN
2015,,,,,NUMBER,NaN
2016,,,,,NUMBER,NaN
2016,,,,,NUMBER,NaN
2017,,,,,NUMBER,NaN
2017,,,,,NUMBER,NaN
2018,,,,,NUMBER,NaN
2018,,,,,NUMBER,NaN
2019,,,,,NUMBER,NaN
2019,,,,,NUMBER,NaN
2020,,,,,NUMBER,0
2020,,,,,NUMBER,NaN
2021,,,,,NUMBER,0
2022,,,,,NUMBER,0
