Year;Sex;Age;Location;Units;Value
2000;;<1Y;;PER_1000_LIVE_BIRTHS;106.5
2000;;<1Y;;NUMBER;225201
2000;;<5Y;;PER_1000_LIVE_BIRTHS;159.3
2000;;<5Y;;NUMBER;330545
2000;FEMALE;<1Y;;PER_1000_LIVE_BIRTHS;97.9
2000;FEMALE;<1Y;;NUMBER;102148
2000;FEMALE;<5Y;;PER_1000_LIVE_BIRTHS;149.5
2000;FEMALE;<5Y;;NUMBER;152918
2000;MALE;<1Y;;PER_1000_LIVE_BIRTHS;114.8
2000;MALE;<1Y;;NUMBER;123053
2000;MALE;<5Y;;PER_1000_LIVE_BIRTHS;168.6
2000;MALE;<5Y;;NUMBER;177627
2001;;<1Y;;PER_1000_LIVE_BIRTHS;104.4
2001;;<1Y;;NUMBER;226885
2001;;<5Y;;PER_1000_LIVE_BIRTHS;154.9
2001;;<5Y;;NUMBER;330631
2001;FEMALE;<1Y;;PER_1000_LIVE_BIRTHS;95.8
2001;FEMALE;<1Y;;NUMBER;102789
2001;FEMALE;<5Y;;PER_1000_LIVE_BIRTHS;145.2
2001;FEMALE;<5Y;;NUMBER;152724
2001;MALE;<1Y;;PER_1000_LIVE_BIRTHS;112.6
2001;MALE;<1Y;;NUMBER;124096
2001;MALE;<5Y;;PER_1000_LIVE_BIRTHS;164.3
2001;MALE;<5Y;;NUMBER;177907
2002;;<1Y;;PER_1000_LIVE_BIRTHS;102.2
2002;;<1Y;;NUMBER;228389
2002;;<5Y;;PER_1000_LIVE_BIRTHS;150.4
2002;;<5Y;;NUMBER;330077
2002;FEMALE;<1Y;;PER_1000_LIVE_BIRTHS;93.6
2002;FEMALE;<1Y;;NUMBER;103365
2002;FEMALE;<5Y;;PER_1000_LIVE_BIRTHS;140.7
2002;FEMALE;<5Y;;NUMBER;152302
2002;MALE;<1Y;;PER_1000_LIVE_BIRTHS;110.3
2002;MALE;<1Y;;NUMBER;125024
2002;MALE;<5Y;;PER_1000_LIVE_BIRTHS;159.6
2002;MALE;<5Y;;NUMBER;177775
2003;;<1Y;;PER_1000_LIVE_BIRTHS;99.9
2003;;<1Y;;NUMBER;229781
2003;;<5Y;;PER_1000_LIVE_BIRTHS;145.7
2003;;<5Y;;NUMBER;329091
2003;FEMALE;<1Y;;PER_1000_LIVE_BIRTHS;91.5
2003;FEMALE;<1Y;;NUMBER;103899
2003;FEMALE;<5Y;;PER_1000_LIVE_BIRTHS;136.2
2003;FEMALE;<5Y;;NUMBER;151733
2003;MALE;<1Y;;PER_1000_LIVE_BIRTHS;107.9
2003;MALE;<1Y;;NUMBER;125882
2003;MALE;<5Y;;PER_1000_LIVE_BIRTHS;154.7
2003;MALE;<5Y;;NUMBER;177358
2004;;<1Y;;PER_1000_LIVE_BIRTHS;97.5
2004;;<1Y;;NUMBER;230944
2004;;<5Y;;PER_1000_LIVE_BIRTHS;140.9
2004;;<5Y;;NUMBER;327486
2004;FEMALE;<1Y;;PER_1000_LIVE_BIRTHS;89.2
2004;FEMALE;<1Y;;NUMBER;104301
2004;FEMALE;<5Y;;PER_1000_LIVE_BIRTHS;131.6
2004;FEMALE;<5Y;;NUMBER;150768
2004;MALE;<1Y;;PER_1000_LIVE_BIRTHS;105.5
2004;MALE;<1Y;;NUMBER;126643
2004;MALE;<5Y;;PER_1000_LIVE_BIRTHS;149.8
2004;MALE;<5Y;;NUMBER;176718
2005;;<1Y;;PER_1000_LIVE_BIRTHS;95.2
2005;;<1Y;;NUMBER;232115
2005;;<5Y;;PER_1000_LIVE_BIRTHS;136.1
2005;;<5Y;;NUMBER;325913
2005;FEMALE;<1Y;;PER_1000_LIVE_BIRTHS;86.9
2005;FEMALE;<1Y;;NUMBER;104656
2005;FEMALE;<5Y;;PER_1000_LIVE_BIRTHS;126.8
2005;FEMALE;<5Y;;NUMBER;149765
2005;MALE;<1Y;;PER_1000_LIVE_BIRTHS;103
2005;MALE;<1Y;;NUMBER;127459
2005;MALE;<5Y;;PER_1000_LIVE_BIRTHS;144.9
2005;MALE;<5Y;;NUMBER;176148
2006;;<1Y;;PER_1000_LIVE_BIRTHS;92.8
2006;;<1Y;;NUMBER;233253
2006;;<5Y;;PER_1000_LIVE_BIRTHS;131.4
2006;;<5Y;;NUMBER;324260
2006;FEMALE;<1Y;;PER_1000_LIVE_BIRTHS;84.7
2006;FEMALE;<1Y;;NUMBER;105168
2006;FEMALE;<5Y;;PER_1000_LIVE_BIRTHS;122.4
2006;FEMALE;<5Y;;NUMBER;148916
2006;MALE;<1Y;;PER_1000_LIVE_BIRTHS;100.4
2006;MALE;<1Y;;NUMBER;128085
2006;MALE;<5Y;;PER_1000_LIVE_BIRTHS;140
2006;MALE;<5Y;;NUMBER;175344
2007;;<1Y;;PER_1000_LIVE_BIRTHS;90.4
2007;;<1Y;;NUMBER;234120
2007;;<5Y;;PER_1000_LIVE_BIRTHS;126.7
2007;;<5Y;;NUMBER;322285
2007;FEMALE;<1Y;;PER_1000_LIVE_BIRTHS;82.5
2007;FEMALE;<1Y;;NUMBER;105484
2007;FEMALE;<5Y;;PER_1000_LIVE_BIRTHS;117.9
2007;FEMALE;<5Y;;NUMBER;147916
