Year;Sex;Age;Location;Units;Value
2000;;15+;;PERCENT;18.8
2000;FEMALE;15+;;PERCENT;8
2000;MALE;15+;;PERCENT;29.6
2005;;15+;;PERCENT;16.9
2005;FEMALE;15+;;PERCENT;6.2
2005;MALE;15+;;PERCENT;27.5
2010;;15+;;PERCENT;15.4
2010;FEMALE;15+;;PERCENT;4.8
2010;MALE;15+;;PERCENT;26
2015;;15+;;PERCENT;14
2015;FEMALE;15+;;PERCENT;3.8
2015;MALE;15+;;PERCENT;24.2
2018;;15+;;PERCENT;13
2018;FEMALE;15+;;PERCENT;3.2
2018;MALE;15+;;PERCENT;23.2
2019;;15+;;PERCENT;13
2019;FEMALE;15+;;PERCENT;3.1
2019;MALE;15+;;PERCENT;22.9
2020;;15+;;PERCENT;12.8
2020;FEMALE;15+;;PERCENT;2.9
2020;MALE;15+;;PERCENT;22.7
