Year,Sex,Age,Location,Units,Value
2000,,,,CON_USD,34.20373
2001,,,,CON_USD,41.98309
2002,,,,CON_USD,52.94097
2003,,,,CON_USD,49.10062
2004,,,,CON_USD,67.01429
2005,,,,CON_USD,80.59045
2006,,,,CON_USD,89.41874
2007,,,,CON_USD,115.91263
2008,,,,CON_USD,243.29405
2009,,,,CON_USD,258.78064
2010,,,,CON_USD,280.03509
2010,,,,CON_USD,280.02941
2011,,,,CON_USD,321.33442
2011,,,,CON_USD,321.21333
2012,,,,CON_USD,360.79838
2012,,,,CON_USD,360.34056
2013,,,,CON_USD,410.93761
2013,,,,CON_USD,409.95185
2014,,,,CON_USD,442.39478
2014,,,,CON_USD,441.39651
2015,,,,CON_USD,545.77513
2015,,,,CON_USD,541.27204
2016,,,,CON_USD,444.34112
2016,,,,CON_USD,442.96069
2017,,,,CON_USD,456.49843
2017,,,,CON_USD,450.71855
2018,,,,CON_USD,437.44644
2018,,,,CON_USD,425.55939
2019,,,,CON_USD,645.87904
2019,,,,CON_USD,639.524
2020,,,,CON_USD,599.81572
2020,,,,CON_USD,587.75902
