Year,Sex,Age,Location,Units,Value
2001,,,,PERCENT,17.9
2001,,,,PERCENT,20.76
2001,,,,PERCENT,58.47
2001,,,,PERCENT,28.78
2001,,,,PERCENT,2.8
2001,,,,PERCENT,66.86
2001,,,,PERCENT,12.47
2001,,,,PERCENT,20.06
2001,,,,PERCENT,33.05
2001,,,,PERCENT,35.23
2001,,,,PERCENT,23.45
2001,,,,PERCENT,15.18
2001,,,,PERCENT,10.02
2001,,,,PERCENT,2.26
2001,,,,PERCENT,5.29
2001,,,,PERCENT,10.73
2001,,,,PERCENT,24.82
2001,,,,PERCENT,9.54
2001,,,RURAL,PERCENT,14.66
2001,,,RURAL,PERCENT,4.09
2001,,,RURAL,PERCENT,22.25
2001,,,URBAN,PERCENT,56.81
2001,,,URBAN,PERCENT,46.31
2001,,,URBAN,PERCENT,22.88
2001,FEMALE,,,PERCENT,20.68
2001,FEMALE,,,PERCENT,8.51
2001,FEMALE,,,PERCENT,30.79
2001,MALE,,,PERCENT,35.22
2001,MALE,,,PERCENT,13.33
2001,MALE,,,PERCENT,29.16
2007,,,,PERCENT,1.33843
2007,,,,PERCENT,48.03712
2007,,,,PERCENT,35.99627
2007,,,,PERCENT,79.02237
2007,,,,PERCENT,8.9651
2007,,,,PERCENT,12.06651
2007,,,,PERCENT,37.585
2007,,,,PERCENT,31.85814
2007,,,,PERCENT,22.80353
2007,,,,PERCENT,16.38681
2007,,,,PERCENT,13.58764
2007,,,,PERCENT,35.70956
2007,,,,PERCENT,14.05016
2007,,,,PERCENT,4.04868
2007,,,,PERCENT,33.59965
2007,,,,PERCENT,69.29297
2007,,,,PERCENT,27.59291
2007,,,,PERCENT,53.22437
2007,,,RURAL,PERCENT,22.38292
2007,,,RURAL,PERCENT,29.93074
2007,,,RURAL,PERCENT,30.75771
2007,,,RURAL,PERCENT,11.81027
2007,,,RURAL,PERCENT,8.25031
2007,,,RURAL,PERCENT,5.78009
2007,,,RURAL,PERCENT,1.45391
2007,,,RURAL,PERCENT,10.72868
2007,,,RURAL,PERCENT,16.37621
2007,,,RURAL,PERCENT,21.31068
2007,,,RURAL,PERCENT,0
2007,,,RURAL,PERCENT,42.45705
2007,,,RURAL,PERCENT,4.45507
2007,,,RURAL,PERCENT,0
2007,,,RURAL,PERCENT,12.14474
2007,,,RURAL,PERCENT,28.68778
2007,,,RURAL,PERCENT,0
2007,,,RURAL,PERCENT,21.54772
2007,,,URBAN,PERCENT,26.2862
2007,,,URBAN,PERCENT,31.01728
2007,,,URBAN,PERCENT,47.24069
2007,,,URBAN,PERCENT,52.03761
2007,,,URBAN,PERCENT,0
2007,,,URBAN,PERCENT,34.02171
2007,,,URBAN,PERCENT,24.18526
2007,,,URBAN,PERCENT,0.91568
2007,,,URBAN,PERCENT,18.85565
2007,,,URBAN,PERCENT,27.29991
2007,,,URBAN,PERCENT,67.46084
2007,,,URBAN,PERCENT,58.80323
2007,,,URBAN,PERCENT,69.72535
2007,,,URBAN,PERCENT,11.25632
2007,,,URBAN,PERCENT,46.29097
2007,,,URBAN,PERCENT,53.33733
2007,,,URBAN,PERCENT,79.11945
2007,,,URBAN,PERCENT,58.22593
2007,FEMALE,,,PERCENT,11.31056
2007,FEMALE,,,PERCENT,1.27032
2007,FEMALE,,,PERCENT,66.7838
2007,FEMALE,,,PERCENT,81.88232
