Year;Sex;Age;Location;Units;Value
2020;MALE;;;;
2020;FEMALE;;;;
2020;;;RDC;PERCENT;66.0
2020;;;KINSHASA;PERCENT;93.6
2020;;;KONGO CENTRAL;PERCENT;67.1
2020;;;KWANGO;PERCENT;55.7
2020;;;KWILU;PERCENT;54.7
2020;;;MAI-NDOMBE;PERCENT;73.1
2020;;;EQUATEUR;PERCENT;71.9
2020;;;NORD UBANGI;PERCENT;59.3
2020;;;SUD UBANGI;PERCENT;43.0
2020;;;MONGALA;PERCENT;61.8
2020;;;TSHUAPA;PERCENT;68.2
2020;;;TSHOPO;PERCENT;71.8
2020;;;BAS UELE;PERCENT;57.6
2020;;;HAUT UELE;PERCENT;61.4
2020;;;ITURI;PERCENT;66.3
2020;;;NORD KIVU;PERCENT;53.7
2020;;;SUD KIVU;PERCENT;61.9
2020;;;MANIEMA;PERCENT;72.0
2020;;;HAUT KATANGA;PERCENT;64.7
2020;;;HAUT LOMAMI;PERCENT;41.8
2020;;;LUALABA;PERCENT;67.8
2020;;;TANGANYIKA;PERCENT;40.0
2020;;;LOMAMI;PERCENT;69.5
2020;;;SANKURU;PERCENT;47.7
2020;;;KASAÏ ORIENTAL;PERCENT;75.0
2020;;;KASAÏ ;PERCENT;53.8
2020;;;KASAÏ CENTRAL;PERCENT;59.8
Milieu de résidence;;;;;
2020;;;AUTRES URBAINS;PERCENT;85.6
2020;;;ENS URBAIN;PERCENT;89.2
2020;;;RURAL;PERCENT;51.4
Groupe d'âge;;;;;
2020;;15-24 ans;;PERCENT;72.0
2020;;25-64ans;;PERCENT;64.1
2020;;65ans et plus;;PERCENT;48.5
