Year;Sex;Age;Location;Units;Value
2020;;;RDC;PERCENT;73.1
2020;;;KINSHASA;PERCENT;94.2
2020;;;KONGO CENTRAL;PERCENT;78.2
2020;;;KWANGO;PERCENT;62.8
2020;;;KWILU;PERCENT;66.3
2020;;;MAI-NDOMBE;PERCENT;73.9
2020;;;EQUATEUR;PERCENT;79.2
2020;;;NORD UBANGI;PERCENT;71.7
2020;;;SUD UBANGI;PERCENT;44.3
2020;;;MONGALA;PERCENT;67.0
2020;;;TSHUAPA;PERCENT;67.8
2020;;;TSHOPO;PERCENT;79.5
2020;;;BAS UELE;PERCENT;63.1
2020;;;HAUT UELE;PERCENT;74.3
2020;;;ITURI;PERCENT;79.1
2020;;;NORD KIVU;PERCENT;59.7
2020;;;SUD KIVU;PERCENT;66.5
2020;;;MANIEMA;PERCENT;72.5
2020;;;HAUT KATANGA;PERCENT;69.2
2020;;;HAUT LOMAMI;PERCENT;61.2
2020;;;LUALABA;PERCENT;77.0
2020;;;TANGANYIKA;PERCENT;50.3
2020;;;LOMAMI;PERCENT;89.9
2020;;;SANKURU;PERCENT;46.9
2020;;;KASAÏ ORIENTAL;PERCENT;84.9
2020;;;KASAÏ ;PERCENT;60.2
2020;;;KASAÏ CENTRAL;PERCENT;73.7
Milieu de résidence;;;;;
2020;;;AUTRES URBAINS;PERCENT;84.4
2020;;;ENS URBAIN;PERCENT;91.0
2020;;;RURAL;PERCENT;61.7
Groupe d'âge;;;;;
2020;;15-24 ans;;PERCENT;77.5
2020;;25-64ans;;PERCENT;71.9
2020;;65ans et plus;;PERCENT;57.3
