Year;Sex;Age;Location;Units;Value;
2015;;;;PERCENT;0;
2015;;;;PERCENT;0;
2015;;;;PERCENT;0;
2015;;;;PERCENT;0;
2015;;;;PERCENT;0;
2015;;;;PERCENT;0;
2015;;;;PERCENT;0;
2015;;;;PERCENT;13.72487;
2015;;;;PERCENT;9.3567;
2015;;;;PERCENT;13.72487;
2015;;;;PERCENT;0;
2015;;;;PERCENT;0;
2015;;;;PERCENT;0;
2015;;;;PERCENT;0;
2015;;;;PERCENT;0;
2015;;;;PERCENT;0;
2015;;;;PERCENT;0;
2015;;;;PERCENT;0;
2015;;;;PERCENT;0;
2015;;;;PERCENT;0;
2019;;;;PERCENT;16.60916;
2019;;;;PERCENT;38.51601;
;;;;;;
;;;;;;
2020;;;;PERCENT;13.10;SECONDARY ELECTRICITY
2020;;;;PERCENT;10.80;PRIMARY ELECTRICITY
2020;;;;PERCENT;46.90;WATER SECONDARY
2020;;;;PERCENT;38.50;WATER PRIMARY
2020;;;;PERCENT;81.30;WC
