Year;Sex;Age;Location;Units;Value;Value pgai
2006;;;;CON_USD;3.80999;245 927.46
2007;;;;CON_USD;6.51664;3 120 291.21
2008;;;;CON_USD;4.0365;151 713.06
2009;;;;CON_USD;5.60738;5 515 020.14
2010;;;;CON_USD;2.46927;5 516 311.05
2011;;;;CON_USD;1.9186;4 514 257.48
2012;;;;CON_USD;2.10364;3 975 795.7
2013;;;;CON_USD;3.74861;1 582 444.76
2014;;;;CON_USD;3.73923;1 846 986.61
2015;;;;CON_USD;3.73077;2 000 000
2016;;;;CON_USD;4.25484;1 920 000
2017;;;;CON_USD;6.26857;0
2018;;;;CON_USD;4.91001;156 827.33
2019;;;;CON_USD;5.30101;0
2020;;;;CON_USD;4.87807;332 137.6
