Year,Sex,Age,Location,Units,Value
2007,,,,PERCENT,96.02398
2007,FEMALE,,,PERCENT,94.53725
2007,MALE,,,PERCENT,96.54386
2008,,,,PERCENT,93.26745
2008,FEMALE,,,PERCENT,95.33332
2008,MALE,,,PERCENT,92.52224
2009,,,,PERCENT,93.3934
2009,FEMALE,,,PERCENT,95.31535
2009,MALE,,,PERCENT,92.70602
2010,,,,PERCENT,32.51786
2010,,,,PERCENT,91.66748
2010,,,,PERCENT,22.81887
2010,FEMALE,,,PERCENT,93.43881
2010,FEMALE,,,PERCENT,31.52259
2010,FEMALE,,,PERCENT,23.42451
2010,MALE,,,PERCENT,91.0081
2010,MALE,,,PERCENT,32.63544
2010,MALE,,,PERCENT,5.24476
2011,,,,PERCENT,22.73146
2011,,,,PERCENT,89.85311
2012,,,,PERCENT,93.08434
2012,,,,PERCENT,16.54178
2012,,,,PERCENT,21.66984
2012,FEMALE,,,PERCENT,17.09706
2012,FEMALE,,,PERCENT,21.02568
2012,FEMALE,,,PERCENT,94.29826
2012,MALE,,,PERCENT,6.67838
2012,MALE,,,PERCENT,21.75256
2012,MALE,,,PERCENT,92.62752
2013,,,,PERCENT,21.66221
2013,,,,PERCENT,18.71706
2013,,,,PERCENT,94.07259
2013,FEMALE,,,PERCENT,95.29545
2013,FEMALE,,,PERCENT,21.18324
2013,FEMALE,,,PERCENT,19.30244
2013,MALE,,,PERCENT,93.59375
2013,MALE,,,PERCENT,21.72666
2013,MALE,,,PERCENT,7.39372
2014,,,,PERCENT,94.62353
2014,,,,PERCENT,20.32591
2014,,,,PERCENT,23.52229
2014,FEMALE,,,PERCENT,21.02874
2014,FEMALE,,,PERCENT,22.34571
2014,FEMALE,,,PERCENT,95.11113
2014,MALE,,,PERCENT,8.06452
2014,MALE,,,PERCENT,23.68453
2014,MALE,,,PERCENT,94.43067
2015,,,,PERCENT,20.63536
2015,FEMALE,,,PERCENT,21.57292
2015,MALE,,,PERCENT,5.26316
2018,,,,PERCENT,91.99965
2018,,,,PERCENT,13.45626
2018,,,,PERCENT,58.00002
2018,FEMALE,,,PERCENT,13.46142
2018,FEMALE,,,PERCENT,91.9999
2018,FEMALE,,,PERCENT,58.00053
2018,MALE,,,PERCENT,13.40515
2018,MALE,,,PERCENT,91.99956
2018,MALE,,,PERCENT,57.99995
