Year;Sex;Age;Location;Units;Value
2020;MALE;;;;37.2
2020;FEMALE;;;;24.7
2020;;;RDC;PERCENT;30.8
2020;;;KINSHASA;PERCENT;67.0
2020;;;KONGO CENTRAL;PERCENT;29.6
2020;;;KWANGO;PERCENT;15.2
2020;;;KWILU;PERCENT;12.3
2020;;;MAI-NDOMBE;PERCENT;17.6
2020;;;EQUATEUR;PERCENT;12.4
2020;;;NORD UBANGI;PERCENT;8.7
2020;;;SUD UBANGI;PERCENT;4.9
2020;;;MONGALA;PERCENT;7.1
2020;;;TSHUAPA;PERCENT;15.6
2020;;;TSHOPO;PERCENT;21.5
2020;;;BAS UELE;PERCENT;15.7
2020;;;HAUT UELE;PERCENT;23.8
2020;;;ITURI;PERCENT;40.0
2020;;;NORD KIVU;PERCENT;28.8
2020;;;SUD KIVU;PERCENT;33.6
2020;;;MANIEMA;PERCENT;26.2
2020;;;HAUT KATANGA;PERCENT;40.8
2020;;;HAUT LOMAMI;PERCENT;9.4
2020;;;LUALABA;PERCENT;39.5
2020;;;TANGANYIKA;PERCENT;11.1
2020;;;LOMAMI;PERCENT;22.6
2020;;;SANKURU;PERCENT;11.5
2020;;;KASAÏ ORIENTAL;PERCENT;31.2
2020;;;KASAÏ ;PERCENT;10.8
2020;;;KASAÏ CENTRAL;PERCENT;25.8
Milieu de résidence;;;;;
2020;;;AUTRES URBAINS;PERCENT;54.3
2020;;;ENS URBAIN;PERCENT;59.9
2020;;;RURAL;PERCENT;12.4
