Year,Sex,Age,Location,Quantile,Units,Value
2000,,,,,PERCENT,10
2000,,,RURAL,,PERCENT,0
2000,,,URBAN,,PERCENT,28
2001,,,,,PERCENT,10
2001,,,RURAL,,PERCENT,1
2001,,,URBAN,,PERCENT,28
2002,,,,,PERCENT,11
2002,,,RURAL,,PERCENT,1
2002,,,URBAN,,PERCENT,29
2003,,,,,PERCENT,11
2003,,,RURAL,,PERCENT,1
2003,,,URBAN,,PERCENT,29
2004,,,,,PERCENT,11
2004,,,RURAL,,PERCENT,1
2004,,,URBAN,,PERCENT,30
2005,,,,,PERCENT,12
2005,,,RURAL,,PERCENT,1
2005,,,URBAN,,PERCENT,31
2006,,,,,PERCENT,12
2006,,,RURAL,,PERCENT,1
2006,,,URBAN,,PERCENT,31
2007,,,,,PERCENT,13
2007,,,RURAL,,PERCENT,1
2007,,,URBAN,,PERCENT,32
2008,,,,,PERCENT,13
2008,,,RURAL,,PERCENT,1
2008,,,URBAN,,PERCENT,32
2009,,,,,PERCENT,13
2009,,,RURAL,,PERCENT,1
2009,,,URBAN,,PERCENT,33
2010,,,,,PERCENT,14
2010,,,RURAL,,PERCENT,1
2010,,,URBAN,,PERCENT,34
2011,,,,,PERCENT,14
2011,,,RURAL,,PERCENT,1
2011,,,URBAN,,PERCENT,34
2012,,,,,PERCENT,15
2012,,,RURAL,,PERCENT,1
2012,,,URBAN,,PERCENT,35
2013,,,,,PERCENT,15
2013,,,RURAL,,PERCENT,1
2013,,,URBAN,,PERCENT,36
2014,,,,,PERCENT,16
2014,,,RURAL,,PERCENT,1
2014,,,URBAN,,PERCENT,36
2015,,,,,PERCENT,16
2015,,,RURAL,,PERCENT,1
2015,,,URBAN,,PERCENT,37
2016,,,,,PERCENT,17
2016,,,RURAL,,PERCENT,1
2016,,,URBAN,,PERCENT,38
2017,,,,,PERCENT,17
2017,,,RURAL,,PERCENT,1
2017,,,URBAN,,PERCENT,38
2018,,,,,PERCENT,18
2018,,,RURAL,,PERCENT,1
2018,,,URBAN,,PERCENT,39
2019,,,,,PERCENT,18
2019,,,RURAL,,PERCENT,1
2019,,,URBAN,,PERCENT,40
2020,,,,,PERCENT,19
2020,,,RURAL,,PERCENT,1
2020,,,URBAN,,PERCENT,40
