Year,Sex,Age,Location,Units,Value
2000,,,,CON_USD,2.18286
2001,,,,CON_USD,1.78763
2002,,,,CON_USD,4.50685
2003,,,,CON_USD,5.34333
2004,,,,CON_USD,9.9492
2005,,,,CON_USD,23.78799
2006,,,,CON_USD,25.35662
2007,,,,CON_USD,27.76339
2008,,,,CON_USD,45.50342
2009,,,,CON_USD,67.62809
2010,,,,CON_USD,111.76595
2011,,,,CON_USD,112.16251
2012,,,,CON_USD,154.21746
2013,,,,CON_USD,203.8051
2014,,,,CON_USD,160.76023
2015,,,,CON_USD,153.93192
2016,,,,CON_USD,151.38399
2017,,,,CON_USD,142.37278
2018,,,,CON_USD,155.36686
2019,,,,CON_USD,118.55257
2020,,,,CON_USD,71.50923
