Year,Sex,Age,Location,Quantile,Units,Value
2000,,,,,W_PER_CAPITA,0
2000,,,,,W_PER_CAPITA,52.854
2000,,,,,W_PER_CAPITA,52.858
2000,,,,,W_PER_CAPITA,0.003
2001,,,,,W_PER_CAPITA,0
2001,,,,,W_PER_CAPITA,0.003
2001,,,,,W_PER_CAPITA,51.832
2001,,,,,W_PER_CAPITA,51.829
2002,,,,,W_PER_CAPITA,50.329
2002,,,,,W_PER_CAPITA,50.332
2002,,,,,W_PER_CAPITA,0.003
2002,,,,,W_PER_CAPITA,0
2003,,,,,W_PER_CAPITA,0
2003,,,,,W_PER_CAPITA,0.003
2003,,,,,W_PER_CAPITA,48.909
2003,,,,,W_PER_CAPITA,48.906
2004,,,,,W_PER_CAPITA,47.391
2004,,,,,W_PER_CAPITA,47.394
2004,,,,,W_PER_CAPITA,0
2004,,,,,W_PER_CAPITA,0.003
2005,,,,,W_PER_CAPITA,0.003
2005,,,,,W_PER_CAPITA,0
2005,,,,,W_PER_CAPITA,45.909
2005,,,,,W_PER_CAPITA,45.906
2006,,,,,W_PER_CAPITA,44.452
2006,,,,,W_PER_CAPITA,44.455
2006,,,,,W_PER_CAPITA,0
2006,,,,,W_PER_CAPITA,0.003
2007,,,,,W_PER_CAPITA,0.003
2007,,,,,W_PER_CAPITA,0
2007,,,,,W_PER_CAPITA,43.028
2007,,,,,W_PER_CAPITA,43.026
2008,,,,,W_PER_CAPITA,41.615
2008,,,,,W_PER_CAPITA,41.617
2008,,,,,W_PER_CAPITA,0
2008,,,,,W_PER_CAPITA,0.003
2009,,,,,W_PER_CAPITA,0.003
2009,,,,,W_PER_CAPITA,0
2009,,,,,W_PER_CAPITA,40.26
2009,,,,,W_PER_CAPITA,40.257
2010,,,,,W_PER_CAPITA,38.938
2010,,,,,W_PER_CAPITA,38.941
2010,,,,,W_PER_CAPITA,0
2010,,,,,W_PER_CAPITA,0.002
2011,,,,,W_PER_CAPITA,0.002
2011,,,,,W_PER_CAPITA,0
2011,,,,,W_PER_CAPITA,37.663
2011,,,,,W_PER_CAPITA,37.66
2012,,,,,W_PER_CAPITA,36.424
2012,,,,,W_PER_CAPITA,36.427
2012,,,,,W_PER_CAPITA,0.001
2012,,,,,W_PER_CAPITA,0.002
2013,,,,,W_PER_CAPITA,0.002
2013,,,,,W_PER_CAPITA,0.005
2013,,,,,W_PER_CAPITA,35.249
2013,,,,,W_PER_CAPITA,35.242
2014,,,,,W_PER_CAPITA,34.091
2014,,,,,W_PER_CAPITA,34.101
2014,,,,,W_PER_CAPITA,0.008
2014,,,,,W_PER_CAPITA,0.002
2015,,,,,W_PER_CAPITA,0.002
2015,,,,,W_PER_CAPITA,0.009
2015,,,,,W_PER_CAPITA,33.166
2015,,,,,W_PER_CAPITA,33.155
2016,,,,,W_PER_CAPITA,32.339
2016,,,,,W_PER_CAPITA,32.383
2016,,,,,W_PER_CAPITA,0.041
2016,,,,,W_PER_CAPITA,0.002
2017,,,,,W_PER_CAPITA,0.027
2017,,,,,W_PER_CAPITA,0.064
2017,,,,,W_PER_CAPITA,31.526
2017,,,,,W_PER_CAPITA,31.435
2018,,,,,W_PER_CAPITA,32.59
2018,,,,,W_PER_CAPITA,32.862
2018,,,,,W_PER_CAPITA,0.035
2018,,,,,W_PER_CAPITA,0.237
2019,,,,,W_PER_CAPITA,0.23
2019,,,,,W_PER_CAPITA,0.034
2019,,,,,W_PER_CAPITA,31.946
2019,,,,,W_PER_CAPITA,31.682
2020,,,,,W_PER_CAPITA,30.702
2020,,,,,W_PER_CAPITA,30.957
2020,,,,,W_PER_CAPITA,0.222
2020,,,,,W_PER_CAPITA,0.033
