Year;Sex;Age;Location;Units;Value
2001;;;;CON_USD_M;0.04
2001;;;;CON_USD_M;0.01
2001;;;;CON_USD_M;0.03
2002;;;;CON_USD_M;0.06
2002;;;;CON_USD_M;0.06
2005;;;;CON_USD_M;1.28
2005;;;;CON_USD_M;1.28
2007;;;;CON_USD_M;210.96
2007;;;;CON_USD_M;210.98
2007;;;;CON_USD_M;0.01
2008;;;;CON_USD_M;54.44
2008;;;;CON_USD_M;0.44
2008;;;;CON_USD_M;54
2009;;;;CON_USD_M;0
2009;;;;CON_USD_M;0.06
2009;;;;CON_USD_M;0.06
2010;;;;CON_USD_M;0.24
2010;;;;CON_USD_M;0.02
2010;;;;CON_USD_M;0.02
2010;;;;CON_USD_M;0.41
2010;;;;CON_USD_M;0.13
2011;;;;CON_USD_M;1291.96
2011;;;;CON_USD_M;1291.86
2011;;;;CON_USD_M;0.1
2012;;;;CON_USD_M;0.07
2012;;;;CON_USD_M;0.07
2013;;;;CON_USD_M;0
2013;;;;CON_USD_M;25.63
2013;;;;CON_USD_M;0.84
2013;;;;CON_USD_M;24.79
2014;;;;CON_USD_M;0.01
2014;;;;CON_USD_M;71.3
2014;;;;CON_USD_M;0.95
2014;;;;CON_USD_M;72.27
2015;;;;CON_USD_M;0.01
2015;;;;CON_USD_M;0.61
2015;;;;CON_USD_M;0.6
2016;;;;CON_USD_M;23.58
2016;;;;CON_USD_M;0.03
2016;;;;CON_USD_M;23.74
2016;;;;CON_USD_M;0.13
2017;;;;CON_USD_M;0.09
2017;;;;CON_USD_M;39.03
2017;;;;CON_USD_M;43.73
2017;;;;CON_USD_M;4.61
2018;;;;CON_USD_M;0.01
2018;;;;CON_USD_M;0.07
2018;;;;CON_USD_M;0.08
2019;;;;CON_USD_M;0.2
2019;;;;CON_USD_M;0.09
2019;;;;CON_USD_M;0.35
2019;;;;CON_USD_M;0.06
