Year,Sex,Age,Location,Quantile,Units,Value
2000,,,,,CON_USD,3.02421
2001,,,,,CON_USD,46.36852
2002,,,,,CON_USD,199.56881
2003,,,,,CON_USD,108.43109
2004,,,,,CON_USD,106.05839
2005,,,,,CON_USD,166.95153
2006,,,,,CON_USD,167.45179
2007,,,,,CON_USD,135.54465
2008,,,,,CON_USD,208.38976
2009,,,,,CON_USD,377.13787
2010,,,,,CON_USD,207.91025
2011,,,,,CON_USD,262.32608
2012,,,,,CON_USD,343.47621
2013,,,,,CON_USD,424.52754
2014,,,,,CON_USD,416.54776
2015,,,,,CON_USD,392.61333
2016,,,,,CON_USD,356.65544
2017,,,,,CON_USD,321.63231
2018,,,,,CON_USD,286.50054
2019,,,,,CON_USD,173.51927
2020,,,,,CON_USD,146.35169
