Year;Sex;Age;Location;Units;Value
;;;;;
2010;;;;PERCENT;17.32
2011;;;;PERCENT;21.58
2012;;;;PERCENT;27.59
2013;;;;PERCENT;37.33
2014;;;;PERCENT;49.06
2015;;;;PERCENT;49
2016;;;;PERCENT;50
2017;;;;PERCENT;50
;;;;;
9. c.1.a Proportion de la population ayant accès à un réseau mobile 2G;;;;;
2010;;;;;17.32
2011;;;;;21.58
2012;;;;;27.59
2013;;;;;37.33
2014;;;;;49.06
2015;;;;;49
2016;;;;;50
2017;;;;;50
2018;;;;;52
2019;;;;;52
2020;;;;;52
9. c.1.b Proportion de la population ayant accès à un réseau mobile 3G;;;;;
2010;;;;;0
2011;;;;;0
2012;;;;;5.52
2013;;;;;7.46
2014;;;;;20
2015;;;;;20
2016;;;;;20
2017;;;;;40
2018;;;;;50
2019;;;;;50
2020;;;;;50
9. c.1.c Proportion de la population ayant accès à un réseau mobile 4G;;;;;
2010;;;;;0
2011;;;;;0
2012;;;;;0
2013;;;;;0
2014;;;;;0
2015;;;;;0
2016;;;;;0
2017;;;;;
2018;;;;;0
2019;;;;;0
2020;;;;;0
