Year,Sex,Age,Location,Quantile,Units,Value
2005,,,,,PERCENT,17.86905
2006,,,,,PERCENT,29.06552
2007,,,,,PERCENT,21.8758
2008,,,,,PERCENT,24.43816
2009,,,,,PERCENT,24.5605
2010,,,,,PERCENT,18.27841
2011,,,,,PERCENT,20.7447
2012,,,,,PERCENT,9.17151
2013,,,,,PERCENT,15.74026
2014,,,,,PERCENT,19.16124
2015,,,,,PERCENT,24.17832
2016,,,,,PERCENT,9.21617
2017,,,,,PERCENT,95.17
2017,,,,,TONNES,138.0
2017,,,,,TONNES,145.0
2017,,,,,PERCENT,4.83
2017,,,,,TONNES,7.0
2017,,,,,PERCENT,12.62219
2018,,,,,PERCENT,93.42
2018,,,,,TONNES,142.0
2018,,,,,TONNES,152.0
2018,,,,,PERCENT,6.58
2018,,,,,TONNES,10.0
2018,,,,,PERCENT,2.61104
2018,,,,,PERCENT,1.60679
2018,,,,,PERCENT,14.3326
2019,,,,,PERCENT,94.9
2019,,,,,TONNES,149.0
2019,,,,,TONNES,157.0
2019,,,,,PERCENT,5.1
2019,,,,,TONNES,8.0
2019,,,,,PERCENT,1.73219
2019,,,,,PERCENT,1.55443
2019,,,,,PERCENT,9.28382
2020,,,,,PERCENT,95.65
2020,,,,,TONNES,154.0
2020,,,,,TONNES,161.0
2020,,,,,PERCENT,4.35
2020,,,,,TONNES,7.0
2020,,,,,PERCENT,2.40261
2020,,,,,PERCENT,1.41731
2020,,,,,PERCENT,13.65089
2021,,,,,PERCENT,97.58
2021,,,,,TONNES,161.0
2021,,,,,TONNES,165.0
2021,,,,,PERCENT,2.42
2021,,,,,TONNES,4.0
2021,,,,,PERCENT,8.43485
