Year,Sex,Age,Location,Quantile,Units,Value
2015,,,,,PERCENT,
2015,,,,,NUM_TH,
2015,,,,,PERCENT,
2015,,,,,NUM_TH,
2015,FEMALE,15+,,,PERCENT,
2015,FEMALE,15+,,,NUM_TH,
2015,FEMALE,15+,,,PERCENT,
2015,FEMALE,15+,,,NUM_TH,
2015,MALE,15+,,,PERCENT,
2015,MALE,15+,,,NUM_TH,
2015,MALE,15+,,,PERCENT,
2015,MALE,15+,,,NUM_TH,
2016,,,,,PERCENT,
2016,,,,,NUM_TH,
2016,,,,,PERCENT,
2016,,,,,NUM_TH,
2016,FEMALE,15+,,,PERCENT,
2016,FEMALE,15+,,,NUM_TH,
2016,FEMALE,15+,,,PERCENT,
2016,FEMALE,15+,,,NUM_TH,
2016,MALE,15+,,,PERCENT,
2016,MALE,15+,,,NUM_TH,
2016,MALE,15+,,,PERCENT,
2016,MALE,15+,,,NUM_TH,
2017,,,,,PERCENT,
2017,,,,,NUM_TH,
2017,,,,,PERCENT,
2017,,,,,NUM_TH,
2017,FEMALE,15+,,,PERCENT,
2017,FEMALE,15+,,,NUM_TH,
2017,FEMALE,15+,,,PERCENT,
2017,FEMALE,15+,,,NUM_TH,
2017,MALE,15+,,,PERCENT,
2017,MALE,15+,,,NUM_TH,
2017,MALE,15+,,,PERCENT,
2017,MALE,15+,,,NUM_TH,
2018,,,,,PERCENT,
2018,,,,,NUM_TH,
2018,,,,,PERCENT,
2018,,,,,NUM_TH,
2018,FEMALE,15+,,,PERCENT,
2018,FEMALE,15+,,,NUM_TH,
2018,FEMALE,15+,,,PERCENT,
2018,FEMALE,15+,,,NUM_TH,
2018,MALE,15+,,,PERCENT,
2018,MALE,15+,,,NUM_TH,
2018,MALE,15+,,,PERCENT,
2018,MALE,15+,,,NUM_TH,
2019,,,,,PERCENT,69.2
2019,,,,,NUM_TH,60070.0
2019,,,,,PERCENT,38.5
2019,,,,,NUM_TH,33421.0
2019,FEMALE,15+,,,PERCENT,69.2
2019,FEMALE,15+,,,NUM_TH,16961.0
2019,FEMALE,15+,,,PERCENT,37.4
2019,FEMALE,15+,,,NUM_TH,9162.0
2019,MALE,15+,,,PERCENT,69.2
2019,MALE,15+,,,NUM_TH,16614.0
2019,MALE,15+,,,PERCENT,39.6
2019,MALE,15+,,,NUM_TH,9524.0
