Year,Sex,Age,Location,Quantile,Units,Value
2000,BOTHSEX,<1M,,,PER_1000_LIVE_BIRTHS,38.4
2000,BOTHSEX,<1M,,,NUMBER,83557.0
2001,BOTHSEX,<1M,,,PER_1000_LIVE_BIRTHS,38.0
2001,BOTHSEX,<1M,,,NUMBER,85071.0
2002,BOTHSEX,<1M,,,PER_1000_LIVE_BIRTHS,37.6
2002,BOTHSEX,<1M,,,NUMBER,86610.0
2003,BOTHSEX,<1M,,,PER_1000_LIVE_BIRTHS,37.2
2003,BOTHSEX,<1M,,,NUMBER,88033.0
2004,BOTHSEX,<1M,,,PER_1000_LIVE_BIRTHS,36.6
2004,BOTHSEX,<1M,,,NUMBER,89362.0
2005,BOTHSEX,<1M,,,PER_1000_LIVE_BIRTHS,36.0
2005,BOTHSEX,<1M,,,NUMBER,90367.0
2006,BOTHSEX,<1M,,,PER_1000_LIVE_BIRTHS,35.3
2006,BOTHSEX,<1M,,,NUMBER,91294.0
2007,BOTHSEX,<1M,,,PER_1000_LIVE_BIRTHS,34.5
2007,BOTHSEX,<1M,,,NUMBER,92043.0
2008,BOTHSEX,<1M,,,PER_1000_LIVE_BIRTHS,33.8
2008,BOTHSEX,<1M,,,NUMBER,92773.0
2009,BOTHSEX,<1M,,,PER_1000_LIVE_BIRTHS,33.0
2009,BOTHSEX,<1M,,,NUMBER,93283.0
2010,BOTHSEX,<1M,,,PER_1000_LIVE_BIRTHS,32.3
2010,BOTHSEX,<1M,,,NUMBER,93837.0
2011,BOTHSEX,<1M,,,PER_1000_LIVE_BIRTHS,31.7
2011,BOTHSEX,<1M,,,NUMBER,94509.0
2012,BOTHSEX,<1M,,,PER_1000_LIVE_BIRTHS,31.1
2012,BOTHSEX,<1M,,,NUMBER,95111.0
2013,BOTHSEX,<1M,,,PER_1000_LIVE_BIRTHS,30.6
2013,BOTHSEX,<1M,,,NUMBER,95659.0
2014,BOTHSEX,<1M,,,PER_1000_LIVE_BIRTHS,30.0
2014,BOTHSEX,<1M,,,NUMBER,95906.0
2015,BOTHSEX,<1M,,,PER_1000_LIVE_BIRTHS,29.5
2015,BOTHSEX,<1M,,,NUMBER,96322.0
2016,BOTHSEX,<1M,,,PER_1000_LIVE_BIRTHS,29.0
2016,BOTHSEX,<1M,,,NUMBER,96532.0
2017,BOTHSEX,<1M,,,PER_1000_LIVE_BIRTHS,28.5
2017,BOTHSEX,<1M,,,NUMBER,96828.0
2018,BOTHSEX,<1M,,,PER_1000_LIVE_BIRTHS,27.9
2018,BOTHSEX,<1M,,,NUMBER,96608.0
2019,BOTHSEX,<1M,,,PER_1000_LIVE_BIRTHS,27.3
2019,BOTHSEX,<1M,,,NUMBER,96411.0
2020,BOTHSEX,<1M,,,PER_1000_LIVE_BIRTHS,26.8
2020,BOTHSEX,<1M,,,NUMBER,96326.0
