Year,Value,Units
2000,782.907,PER_100000_POP
2001,803.229,PER_100000_POP
2002,837.8,PER_100000_POP
2003,874.081,PER_100000_POP
2004,863.4,PER_100000_POP
2005,780.413,PER_100000_POP
2006,705.35,PER_100000_POP
2007,629.628,PER_100000_POP
2008,605.456,PER_100000_POP
2009,724.674,PER_100000_POP
2010,732.914,PER_100000_POP
2011,730.847,PER_100000_POP
2012,732.453,PER_100000_POP
2013,695.188,PER_100000_POP
2014,695.659,PER_100000_POP
2015,705.19,PER_100000_POP
2016,677.546,PER_100000_POP
2017,756.899,PER_100000_POP
2018,849.529,PER_100000_POP
2019,916.705,PER_100000_POP
2020,929.681,PER_100000_POP
2021,927.16308,PER_100000_POP
