Year,Value,Units
2000,34.20373,CON_USD
2001,41.98309,CON_USD
2002,52.94097,CON_USD
2003,49.10062,CON_USD
2004,67.01429,CON_USD
2005,80.59045,CON_USD
2006,89.41874,CON_USD
2007,115.91263,CON_USD
2008,243.29405,CON_USD
2009,258.78064,CON_USD
2010,280.03509,CON_USD
2010,280.02941,CON_USD
2011,321.33442,CON_USD
2011,321.21333,CON_USD
2012,360.79838,CON_USD
2012,360.34056,CON_USD
2013,410.93761,CON_USD
2013,409.95185,CON_USD
2014,442.39478,CON_USD
2014,441.39651,CON_USD
2015,545.77513,CON_USD
2015,541.27204,CON_USD
2016,444.34112,CON_USD
2016,442.96069,CON_USD
2017,456.49843,CON_USD
2017,450.71855,CON_USD
2018,437.44644,CON_USD
2018,425.55939,CON_USD
2019,645.87904,CON_USD
2019,639.524,CON_USD
2020,599.81572,CON_USD
2020,587.75902,CON_USD
