Year,Value,Units
2005,116.70505,CON_USD
2006,156.59392,CON_USD
2006,197.0606,CON_USD
2007,461.48992,CON_USD
2007,163.16431,CON_USD
2008,272.27232,CON_USD
2008,251.43206,CON_USD
2009,697.68816,CON_USD
2009,459.3206,CON_USD
2010,705.4457,CON_USD
2010,287.75341,CON_USD
2011,748.33815,CON_USD
2011,382.4636,CON_USD
2012,413.54386,CON_USD
2012,492.30595,CON_USD
2013,501.57846,CON_USD
2013,589.81034,CON_USD
2014,465.05651,CON_USD
2014,533.61991,CON_USD
2015,421.58299,CON_USD
2015,492.45652,CON_USD
2016,602.40119,CON_USD
2016,509.15087,CON_USD
2017,512.27762,CON_USD
2017,452.99493,CON_USD
2018,172.95051,CON_USD
2018,444.20691,CON_USD
2019,302.97851,CON_USD
2019,323.62637,CON_USD
2020,116.44728,CON_USD
2020,244.61868,CON_USD
