Year,Sex,Age,Location,Quantile,Units,Value
2000,FEMALE,,,,PER_100000_LIVE_BIRTHS,760
2001,FEMALE,,,,PER_100000_LIVE_BIRTHS,740
2002,FEMALE,,,,PER_100000_LIVE_BIRTHS,734
2003,FEMALE,,,,PER_100000_LIVE_BIRTHS,699
2004,FEMALE,,,,PER_100000_LIVE_BIRTHS,661
2005,FEMALE,,,,PER_100000_LIVE_BIRTHS,627
2006,FEMALE,,,,PER_100000_LIVE_BIRTHS,598
2007,FEMALE,,,,PER_100000_LIVE_BIRTHS,578
2008,FEMALE,,,,PER_100000_LIVE_BIRTHS,565
2009,FEMALE,,,,PER_100000_LIVE_BIRTHS,555
2010,FEMALE,,,,PER_100000_LIVE_BIRTHS,542
2011,FEMALE,,,,PER_100000_LIVE_BIRTHS,532
2012,FEMALE,,,,PER_100000_LIVE_BIRTHS,524
2013,FEMALE,,,,PER_100000_LIVE_BIRTHS,514
2014,FEMALE,,,,PER_100000_LIVE_BIRTHS,500
2015,FEMALE,,,,PER_100000_LIVE_BIRTHS,490
2016,FEMALE,,,,PER_100000_LIVE_BIRTHS,481
2017,FEMALE,,,,PER_100000_LIVE_BIRTHS,473
