Year,Sex,Age,Location,Quantile,Units,Value
2001,,,,,PERCENT,32.87172
2001,,,,,INDEX,
2001,,,,,PERCENT,
2002,,,,,PERCENT,26.58381
2002,,,,,INDEX,
2002,,,,,PERCENT,
2003,,,,,PERCENT,26.0536
2003,,,,,INDEX,
2003,,,,,PERCENT,
2004,,,,,PERCENT,23.87929
2004,,,,,INDEX,
2004,,,,,PERCENT,
2005,,,,,PERCENT,21.5799
2005,,,,,INDEX,
2005,,,,,PERCENT,
2006,,,,,PERCENT,21.21021
2006,,,,,INDEX,
2006,,,,,PERCENT,
2007,,,,,PERCENT,21.60158
2007,,,,,INDEX,
2007,,,,,PERCENT,
2008,,,,,PERCENT,22.61826
2008,,,,,INDEX,
2008,,,,,PERCENT,
2009,,,,,PERCENT,23.67491
2009,,,,,INDEX,
2009,,,,,PERCENT,
2010,,,,,PERCENT,21.42838
2010,,,,,INDEX,0.083
2010,,,,,PERCENT,1.77
2011,,,,,PERCENT,20.91722
2011,,,,,INDEX,0.119
2011,,,,,PERCENT,2.5
2012,,,,,PERCENT,20.44105
2012,,,,,INDEX,0.301
2012,,,,,PERCENT,6.16
2013,,,,,PERCENT,19.31671
2013,,,,,INDEX,0.101
2013,,,,,PERCENT,1.96
2014,,,,,PERCENT,18.56248
2014,,,,,INDEX,0.097
2014,,,,,PERCENT,1.81
2015,,,,,PERCENT,18.37048
2015,,,,,INDEX,0.153
2015,,,,,PERCENT,2.8
2016,,,,,PERCENT,19.26847
2016,,,,,INDEX,0.066
2016,,,,,PERCENT,1.28
2017,,,,,PERCENT,19.89304
2017,,,,,INDEX,0.056
2017,,,,,PERCENT,1.11
2018,,,,,PERCENT,19.16177
2018,,,,,INDEX,0.03
2018,,,,,PERCENT,0.57
2019,,,,,PERCENT,19.96523
2019,,,,,INDEX,0.062
2019,,,,,PERCENT,1.24
2020,,,,,PERCENT,20.33339
2020,,,,,INDEX,0.048
2020,,,,,PERCENT,0.98
