Year,Sex,Age,Location,Quantile,Units,Value
2005,BOTHSEX,15+,,,PERCENT,2.9
2005,BOTHSEX,15-24,,,PERCENT,4.8
2005,BOTHSEX,25+,,,PERCENT,2.3
2005,FEMALE,15+,,,PERCENT,2.2
2005,FEMALE,15-24,,,PERCENT,3.6
2005,FEMALE,25+,,,PERCENT,1.7
2005,MALE,15+,,,PERCENT,3.5
2005,MALE,15-24,,,PERCENT,6.3
2005,MALE,25+,,,PERCENT,2.9
2012,BOTHSEX,15+,,,PERCENT,4.5
2012,BOTHSEX,15-24,,,PERCENT,8.7
2012,BOTHSEX,25+,,,PERCENT,3.6
2012,FEMALE,15+,,,PERCENT,3.6
2012,FEMALE,15-24,,,PERCENT,6.8
2012,FEMALE,25+,,,PERCENT,2.8
2012,MALE,15+,,,PERCENT,5.3
2012,MALE,15-24,,,PERCENT,11.3
2012,MALE,25+,,,PERCENT,4.3
