Year,Sex,Age,Location,Quantile,Units,Value
2010,,,,,TEU,46042
2011,,,,,TEU,60237
2012,,,,,TEU,81192
2013,,,,,TEU,66896
2014,,,,,TEU,101254
2015,,,,,TEU,47710
2016,,,,,TEU,44513
2017,,,,,T_KM,228606
2017,,,,,P_KM,1344194936
2017,,,,,TEU,49349
2018,,,,,T_KM,3679994569
2018,,,,,T_KM,3989826986
2018,,,,,T_KM,21428485
2018,,,,,T_KM,915105
2018,,,,,P_KM,72063733347
2018,,,,,P_KM,658262689
2018,,,,,P_KM,18450953
2018,,,,,TEU,51238
2019,,,,,T_KM,751200
2019,,,,,T_KM,34253200000
2019,,,,,T_KM,87200000
2019,,,,,T_KM,12737600000
2019,,,,,P_KM,106698142857
2019,,,,,P_KM,4809000000
2019,,,,,P_KM,629068126
2019,,,,,TEU,27954
2020,,,,,T_KM,962587
2020,,,,,T_KM,32745000000
2020,,,,,T_KM,84000000
2020,,,,,T_KM,11933000000
2020,,,,,P_KM,292485965
2020,,,,,P_KM,14000000
2020,,,,,P_KM,80261000000
2020,,,,,TEU,75322
