Year,Value,Units
2000,193.08506,CU_USD_M
2001,271.62572,CU_USD_M
2002,1013.11673,CU_USD_M
2003,4703.60524,CU_USD_M
2004,1787.54524,CU_USD_M
2005,1655.91,CU_USD_M
2006,1234.60167,CU_USD_M
2007,1154.30053,CU_USD_M
2008,1616.67468,CU_USD_M
2009,2169.73585,CU_USD_M
2010,2980.25781,CU_USD_M
2011,3378.94426,CU_USD_M
2012,4266.92513,CU_USD_M
2013,206.32631,CU_USD_M
2014,2047.80635,CU_USD_M
2015,2790.53623,CU_USD_M
2016,1849.34121,CU_USD_M
2017,2188.23791,CU_USD_M
2018,838.60965,CU_USD_M
2019,3256.36825,CU_USD_M
2020,3476.24156,CU_USD_M
