Year,Value,Units
2000,38.36398,PERCENT
2001,38.36398,PERCENT
2002,38.36398,PERCENT
2003,38.36398,PERCENT
2004,38.36398,PERCENT
2005,38.36398,PERCENT
2006,39.08511,PERCENT
2007,39.08511,PERCENT
2008,39.08511,PERCENT
2009,39.08511,PERCENT
2010,39.08511,PERCENT
2011,39.08511,PERCENT
2012,39.08511,PERCENT
2013,39.08511,PERCENT
2014,39.08511,PERCENT
2015,39.08511,PERCENT
2016,39.08511,PERCENT
2017,39.08511,PERCENT
2018,39.08511,PERCENT
2019,39.08511,PERCENT
2020,39.08511,PERCENT
2021,39.08511,PERCENT
