Year,Value,Units
2010,31,PERCENT
2010,14,PERCENT
2010,30,PERCENT
2010,40,PERCENT
2010,26,PERCENT
2010,20,PERCENT
2010,68,PERCENT
2010,66,PERCENT
2010,33,PERCENT
2010,66,PERCENT
2010,63,PERCENT
2010,0,PERCENT
2010,58,PERCENT
2011,70,PERCENT
2011,75,PERCENT
2011,57,PERCENT
2011,50,PERCENT
2011,30,PERCENT
2011,57,PERCENT
2011,33,PERCENT
2011,58,PERCENT
2011,55,PERCENT
2011,92,PERCENT
2011,100,PERCENT
2011,0,PERCENT
2011,100,PERCENT
2012,93,PERCENT
2012,8,PERCENT
2012,100,PERCENT
2012,100,PERCENT
2012,44,PERCENT
2012,31,PERCENT
2012,71,PERCENT
2012,80,PERCENT
2012,100,PERCENT
2012,85,PERCENT
2012,30,PERCENT
2012,50,PERCENT
2012,52,PERCENT
2013,85,PERCENT
2013,78,PERCENT
2013,77,PERCENT
2013,70,PERCENT
2013,0,PERCENT
2013,60,PERCENT
2013,100,PERCENT
2013,60,PERCENT
2013,50,PERCENT
2013,25,PERCENT
2013,100,PERCENT
2013,46,PERCENT
2013,40,PERCENT
2014,39,PERCENT
2014,100,PERCENT
2014,85,PERCENT
2014,46,PERCENT
2014,89,PERCENT
2014,92,PERCENT
2014,0,PERCENT
2014,67,PERCENT
2014,100,PERCENT
2014,50,PERCENT
2014,100,PERCENT
2014,60,PERCENT
2014,70,PERCENT
2015,60,PERCENT
2015,85,PERCENT
2015,33,PERCENT
2015,76,PERCENT
2015,92,PERCENT
2015,100,PERCENT
2015,60,PERCENT
2015,100,PERCENT
2015,100,PERCENT
2015,57,PERCENT
2015,67,PERCENT
2015,0,PERCENT
2015,100,PERCENT
2016,86,PERCENT
2016,100,PERCENT
2016,0,PERCENT
2016,65,PERCENT
2016,100,PERCENT
2016,100,PERCENT
2016,57,PERCENT
2016,50,PERCENT
2016,67,PERCENT
2016,70,PERCENT
2016,92,PERCENT
2016,69,PERCENT
2016,62,PERCENT
2017,47,PERCENT
2017,89,PERCENT
2017,47,PERCENT
2017,87,PERCENT
2017,80,PERCENT
2017,86,PERCENT
2017,85,PERCENT
2017,0,PERCENT
2017,76,PERCENT
2017,92,PERCENT
2017,0,PERCENT
2017,100,PERCENT
2017,60,PERCENT
2018,27,PERCENT
2018,20,PERCENT
2018,20,PERCENT
2018,60,PERCENT
2018,60,PERCENT
2018,20,PERCENT
2018,20,PERCENT
2018,60,PERCENT
2018,40,PERCENT
2018,40,PERCENT
2018,27,PERCENT
2018,33,PERCENT
2018,20,PERCENT
2019,40,PERCENT
2019,27,PERCENT
2019,60,PERCENT
2019,30,PERCENT
2019,20,PERCENT
2019,20,PERCENT
2019,20,PERCENT
2019,40,PERCENT
2019,33,PERCENT
2019,27,PERCENT
2019,20,PERCENT
2019,60,PERCENT
2019,60,PERCENT
2020,60,PERCENT
2020,60,PERCENT
2020,80,PERCENT
2020,50,PERCENT
2020,20,PERCENT
2020,40,PERCENT
2020,60,PERCENT
2020,60,PERCENT
2020,53,PERCENT
2020,40,PERCENT
2020,60,PERCENT
2020,60,PERCENT
2020,27,PERCENT
