Year,Value,Units
2001,0.04,CON_USD_M
2001,0.01,CON_USD_M
2001,0.03,CON_USD_M
2002,0.06,CON_USD_M
2002,0.06,CON_USD_M
2005,1.28,CON_USD_M
2005,1.28,CON_USD_M
2007,210.96,CON_USD_M
2007,210.98,CON_USD_M
2007,0.01,CON_USD_M
2008,54.44,CON_USD_M
2008,0.44,CON_USD_M
2008,54.0,CON_USD_M
2009,0.0,CON_USD_M
2009,0.06,CON_USD_M
2009,0.06,CON_USD_M
2010,0.24,CON_USD_M
2010,0.02,CON_USD_M
2010,0.02,CON_USD_M
2010,0.41,CON_USD_M
2010,0.13,CON_USD_M
2011,1291.96,CON_USD_M
2011,1291.86,CON_USD_M
2011,0.1,CON_USD_M
2012,0.07,CON_USD_M
2012,0.07,CON_USD_M
2013,0.0,CON_USD_M
2013,25.63,CON_USD_M
2013,0.84,CON_USD_M
2013,24.79,CON_USD_M
2014,0.01,CON_USD_M
2014,71.3,CON_USD_M
2014,0.95,CON_USD_M
2014,72.27,CON_USD_M
2015,0.01,CON_USD_M
2015,0.61,CON_USD_M
2015,0.6,CON_USD_M
2016,23.58,CON_USD_M
2016,0.03,CON_USD_M
2016,23.74,CON_USD_M
2016,0.13,CON_USD_M
2017,0.09,CON_USD_M
2017,39.03,CON_USD_M
2017,43.73,CON_USD_M
2017,4.61,CON_USD_M
2018,0.01,CON_USD_M
2018,0.07,CON_USD_M
2018,0.08,CON_USD_M
2019,0.2,CON_USD_M
2019,0.09,CON_USD_M
2019,0.35,CON_USD_M
2019,0.06,CON_USD_M
