Year,Sex,Age,Location,Quantile,Units,Value
2009,,,,,PER_10000_POP,4.1
2009,,,,,PER_10000_POP,0.93
2009,,,,,PER_10000_POP,0.05
2009,,,,,PER_10000_POP,0.01
2013,,,,,PER_10000_POP,8.6
2013,,,,,PER_10000_POP,0.04
2013,,,,,PER_10000_POP,0.9
2015,,,,,PER_10000_POP,9.48
2016,,,,,PER_10000_POP,0.02
2016,,,,,PER_10000_POP,0.05
2017,,,,,PER_10000_POP,8.97
2017,FEMALE,,,,PERCENT,53.74
2017,MALE,,,,PERCENT,46.26
2018,,,,,PER_10000_POP,11.1
2018,,,,,PER_10000_POP,3.75
2018,,,,,PER_10000_POP,0.05
2018,,,,,PER_10000_POP,0.2
2018,FEMALE,,,,PERCENT,33.21
2018,MALE,,,,PERCENT,66.79
