Year,Sex,Age,Location,Quantile,Units,Value
2000,,,,,KMSQ,25877.65002
2000,,,,,PERCENT,0.01141
2000,,,,,KMSQ,1869.34599
2000,,,,,PERCENT,0.00082
2000,,,,,KMSQ,327.43697
2000,,,,,PERCENT,0.00014
2000,,,,,KMSQ,349.18129
2000,,,,,PERCENT,0.00015
2000,,,,,KMSQ,274.75
2000,,,,,PERCENT,0.0
2000,,,,,KMSQ,0.0
2000,,,,,PERCENT,0.0
2000,,,,,KMSQ,0.0
2000,,,,,PERCENT,0.0
2000,,,,,KMSQ,274.75
2001,,,,,KMSQ,26673.62408
2001,,,,,PERCENT,0.01177
2001,,,,,KMSQ,2124.53473
2001,,,,,PERCENT,0.00094
2001,,,,,KMSQ,326.5928
2001,,,,,PERCENT,0.00014
2001,,,,,KMSQ,350.69124
2001,,,,,PERCENT,0.00015
2002,,,,,KMSQ,29943.25422
2002,,,,,PERCENT,0.01321
2002,,,,,KMSQ,2733.94337
2002,,,,,PERCENT,0.00121
2002,,,,,KMSQ,368.8736
2002,,,,,PERCENT,0.00016
2002,,,,,KMSQ,397.46299
2002,,,,,PERCENT,0.00018
2003,,,,,KMSQ,32975.09263
2003,,,,,PERCENT,0.01455
2003,,,,,KMSQ,3241.45645
2003,,,,,PERCENT,0.00143
2003,,,,,KMSQ,384.62552
2003,,,,,PERCENT,0.00017
2003,,,,,KMSQ,417.70148
2003,,,,,PERCENT,0.00018
2004,,,,,KMSQ,35168.99071
2004,,,,,PERCENT,0.01551
2004,,,,,KMSQ,3343.57217
2004,,,,,PERCENT,0.00147
2004,,,,,KMSQ,387.65533
2004,,,,,PERCENT,0.00017
2004,,,,,KMSQ,417.87875
2004,,,,,PERCENT,0.00018
2005,,,,,KMSQ,35340.40277
2005,,,,,PERCENT,0.01559
2005,,,,,KMSQ,3342.87255
2005,,,,,PERCENT,0.00147
2005,,,,,KMSQ,389.33432
2005,,,,,PERCENT,0.00017
2005,,,,,KMSQ,424.46036
2005,,,,,PERCENT,0.00019
2006,,,,,PERCENT,-0.12826
2006,,,,,KMSQ,35295.07618
2006,,,,,PERCENT,0.01557
2006,,,,,PERCENT,0.62844
2006,,,,,KMSQ,3363.88063
2006,,,,,PERCENT,0.00148
2006,,,,,KMSQ,385.16344
2006,,,,,PERCENT,0.00017
2006,,,,,KMSQ,423.85536
2006,,,,,PERCENT,0.00019
2007,,,,,PERCENT,-0.45625
2007,,,,,KMSQ,35179.16291
2007,,,,,PERCENT,0.01552
2007,,,,,PERCENT,-2.39945
2007,,,,,KMSQ,3262.66214
2007,,,,,PERCENT,0.00144
2007,,,,,KMSQ,371.45855
2007,,,,,PERCENT,0.00016
2007,,,,,KMSQ,410.61649
2007,,,,,PERCENT,0.00018
2007,,,,,KMSQ,274.75
2007,,,,,PERCENT,-3.41
2007,,,,,KMSQ,2.35
2007,,,,,PERCENT,0.86
2007,,,,,KMSQ,11.71
2007,,,,,PERCENT,4.26
2007,,,,,KMSQ,265.38
2008,,,,,PERCENT,-0.5537
2008,,,,,KMSQ,35144.72199
2008,,,,,PERCENT,0.0155
2008,,,,,PERCENT,-6.4488
2008,,,,,KMSQ,3127.29741
2008,,,,,PERCENT,0.00138
2008,,,,,KMSQ,358.46144
2008,,,,,PERCENT,0.00016
2008,,,,,KMSQ,398.74483
2008,,,,,PERCENT,0.00018
2008,,,,,KMSQ,274.75
2008,,,,,PERCENT,-3.31
2008,,,,,KMSQ,2.08
2008,,,,,PERCENT,0.76
2008,,,,,KMSQ,11.17
2008,,,,,PERCENT,4.07
2008,,,,,KMSQ,265.65
2009,,,,,PERCENT,-0.75069
2009,,,,,KMSQ,35075.10557
2009,,,,,PERCENT,0.01547
2009,,,,,PERCENT,-5.78673
2009,,,,,KMSQ,3149.42943
2009,,,,,PERCENT,0.00139
2009,,,,,KMSQ,351.04606
2009,,,,,PERCENT,0.00015
2009,,,,,KMSQ,391.65689
2009,,,,,PERCENT,0.00017
2009,,,,,KMSQ,274.75
2009,,,,,PERCENT,-3.48
2009,,,,,KMSQ,1.8
2009,,,,,PERCENT,0.66
2009,,,,,KMSQ,11.36
