Year,Sex,Age,Location,Quantile,Units,Value
2010,,,,,PERCENT,31
2010,,,,,PERCENT,14
2010,,,,,PERCENT,30
2010,,,,,PERCENT,40
2010,,,,,PERCENT,26
2010,,,,,PERCENT,20
2010,,,,,PERCENT,68
2010,,,,,PERCENT,66
2010,,,,,PERCENT,33
2010,,,,,PERCENT,66
2010,,,,,PERCENT,63
2010,,,,,PERCENT,0
2010,,,,,PERCENT,58
2011,,,,,PERCENT,70
2011,,,,,PERCENT,75
2011,,,,,PERCENT,57
2011,,,,,PERCENT,50
2011,,,,,PERCENT,30
2011,,,,,PERCENT,57
2011,,,,,PERCENT,33
2011,,,,,PERCENT,58
2011,,,,,PERCENT,55
2011,,,,,PERCENT,92
2011,,,,,PERCENT,100
2011,,,,,PERCENT,0
2011,,,,,PERCENT,100
2012,,,,,PERCENT,93
2012,,,,,PERCENT,8
2012,,,,,PERCENT,100
2012,,,,,PERCENT,100
2012,,,,,PERCENT,44
2012,,,,,PERCENT,31
2012,,,,,PERCENT,71
2012,,,,,PERCENT,80
2012,,,,,PERCENT,100
2012,,,,,PERCENT,85
2012,,,,,PERCENT,30
2012,,,,,PERCENT,50
2012,,,,,PERCENT,52
2013,,,,,PERCENT,85
2013,,,,,PERCENT,78
2013,,,,,PERCENT,77
2013,,,,,PERCENT,70
2013,,,,,PERCENT,0
2013,,,,,PERCENT,60
2013,,,,,PERCENT,100
2013,,,,,PERCENT,60
2013,,,,,PERCENT,50
2013,,,,,PERCENT,25
2013,,,,,PERCENT,100
2013,,,,,PERCENT,46
2013,,,,,PERCENT,40
2014,,,,,PERCENT,39
2014,,,,,PERCENT,100
2014,,,,,PERCENT,85
2014,,,,,PERCENT,46
2014,,,,,PERCENT,89
2014,,,,,PERCENT,92
2014,,,,,PERCENT,0
2014,,,,,PERCENT,67
2014,,,,,PERCENT,100
2014,,,,,PERCENT,50
2014,,,,,PERCENT,100
2014,,,,,PERCENT,60
2014,,,,,PERCENT,70
2015,,,,,PERCENT,60
2015,,,,,PERCENT,85
2015,,,,,PERCENT,33
2015,,,,,PERCENT,76
2015,,,,,PERCENT,92
2015,,,,,PERCENT,100
2015,,,,,PERCENT,60
2015,,,,,PERCENT,100
2015,,,,,PERCENT,100
2015,,,,,PERCENT,57
2015,,,,,PERCENT,67
2015,,,,,PERCENT,0
2015,,,,,PERCENT,100
2016,,,,,PERCENT,86
2016,,,,,PERCENT,100
2016,,,,,PERCENT,0
2016,,,,,PERCENT,65
2016,,,,,PERCENT,100
2016,,,,,PERCENT,100
2016,,,,,PERCENT,57
2016,,,,,PERCENT,50
2016,,,,,PERCENT,67
2016,,,,,PERCENT,70
2016,,,,,PERCENT,92
2016,,,,,PERCENT,69
2016,,,,,PERCENT,62
2017,,,,,PERCENT,47
2017,,,,,PERCENT,89
2017,,,,,PERCENT,47
2017,,,,,PERCENT,87
2017,,,,,PERCENT,80
2017,,,,,PERCENT,86
2017,,,,,PERCENT,85
2017,,,,,PERCENT,0
2017,,,,,PERCENT,76
2017,,,,,PERCENT,92
2017,,,,,PERCENT,0
2017,,,,,PERCENT,100
2017,,,,,PERCENT,60
2018,,,,,PERCENT,27
2018,,,,,PERCENT,20
2018,,,,,PERCENT,20
2018,,,,,PERCENT,60
2018,,,,,PERCENT,60
2018,,,,,PERCENT,20
2018,,,,,PERCENT,20
2018,,,,,PERCENT,60
2018,,,,,PERCENT,40
2018,,,,,PERCENT,40
2018,,,,,PERCENT,27
2018,,,,,PERCENT,33
2018,,,,,PERCENT,20
2019,,,,,PERCENT,40
2019,,,,,PERCENT,27
2019,,,,,PERCENT,60
2019,,,,,PERCENT,30
2019,,,,,PERCENT,20
2019,,,,,PERCENT,20
2019,,,,,PERCENT,20
2019,,,,,PERCENT,40
2019,,,,,PERCENT,33
2019,,,,,PERCENT,27
2019,,,,,PERCENT,20
2019,,,,,PERCENT,60
2019,,,,,PERCENT,60
2020,,,,,PERCENT,60
2020,,,,,PERCENT,60
2020,,,,,PERCENT,80
2020,,,,,PERCENT,50
2020,,,,,PERCENT,20
2020,,,,,PERCENT,40
2020,,,,,PERCENT,60
2020,,,,,PERCENT,60
2020,,,,,PERCENT,53
2020,,,,,PERCENT,40
2020,,,,,PERCENT,60
2020,,,,,PERCENT,60
2020,,,,,PERCENT,27
