Year,Sex,Age,Location,Quantile,Units,Value
2015,,,,,PERCENT,0.0
2015,,,,,PERCENT,0.0
2015,,,,,PERCENT,0.0
2015,,,,,PERCENT,0.0
2015,,,,,PERCENT,0.0
2015,,,,,PERCENT,0.0
2015,,,,,PERCENT,0.0
2015,,,,,PERCENT,13.72487
2015,,,,,PERCENT,9.3567
2015,,,,,PERCENT,13.72487
2015,,,,,PERCENT,0.0
2015,,,,,PERCENT,0.0
2015,,,,,PERCENT,0.0
2015,,,,,PERCENT,0.0
2015,,,,,PERCENT,0.0
2015,,,,,PERCENT,0.0
2015,,,,,PERCENT,0.0
2015,,,,,PERCENT,0.0
2015,,,,,PERCENT,0.0
2015,,,,,PERCENT,0.0
2019,,,,,PERCENT,16.60916
2019,,,,,PERCENT,38.51601
