Year,Sex,Age,Location,Quantile,Units,Value
2004,,,,,PERCENT,40
2005,,,,,PERCENT,50
2006,,,,,PERCENT,50
2007,,,,,PERCENT,50
2008,,,,,PERCENT,50
2009,,,,,PERCENT,50
2009,,,,,PERCENT,0
2010,,,,,PERCENT,50
2010,,,,,PERCENT,0
2011,,,,,PERCENT,50
2011,,,,,PERCENT,0
2012,,,,,PERCENT,50
2012,,,,,PERCENT,20
2013,,,,,PERCENT,50
2013,,,,,PERCENT,20
2014,,,,,PERCENT,50
2014,,,,,PERCENT,20
2014,,,,,PERCENT,0
2015,,,,,PERCENT,50
2015,,,,,PERCENT,20
2015,,,,,PERCENT,0
2016,,,,,PERCENT,50
2016,,,,,PERCENT,20
2016,,,,,PERCENT,0
2017,,,,,PERCENT,50
2017,,,,,PERCENT,40
2017,,,,,PERCENT,0
2018,,,,,PERCENT,52
2018,,,,,PERCENT,50
2018,,,,,PERCENT,0
2019,,,,,PERCENT,54
2019,,,,,PERCENT,54
2020,,,,,PERCENT,70
2020,,,,,PERCENT,54
2020,,,,,PERCENT,40
