Year,Value,Units
2000,94.1904,CU_USD_M
2001,102.2219,CU_USD_M
2002,187.59869,CU_USD_M
2003,391.25472,CU_USD_M
2004,409.03281,CU_USD_M
2005,266.6,CU_USD_M
2006,256.1189,CU_USD_M
2007,1808.03272,CU_USD_M
2008,1726.84338,CU_USD_M
2009,663.80289,CU_USD_M
2010,2939.27,CU_USD_M
2011,1686.9,CU_USD_M
2012,3312.14274,CU_USD_M
2013,2098.2491,CU_USD_M
2014,1843.17324,CU_USD_M
2015,1673.5001,CU_USD_M
2016,1204.70862,CU_USD_M
2017,1340.2041,CU_USD_M
2018,1616.79488,CU_USD_M
2019,1488.05357,CU_USD_M
2020,1646.92106,CU_USD_M
