Year,Value,Units
2010,,INDEX
2011,-1.793,INDEX
2012,-0.518,INDEX
2013,-0.162,INDEX
2014,-0.108,INDEX
2015,-0.085,INDEX
2015,0.8,INDEX
2015,,INDEX
2015,-1.5,INDEX
2015,,INDEX
2015,-0.9,INDEX
2016,-0.188,INDEX
2016,,INDEX
2016,,INDEX
2016,0.2,INDEX
2016,,INDEX
2016,0.1,INDEX
2017,-3.392,INDEX
2017,,INDEX
2017,,INDEX
2017,-0.8,INDEX
2017,,INDEX
2017,0.4,INDEX
2018,-2.396,INDEX
2018,,INDEX
2018,,INDEX
2018,0.5,INDEX
2018,,INDEX
2018,-0.9,INDEX
2019,-0.453,INDEX
2019,-0.4,INDEX
2019,,INDEX
2019,0.4,INDEX
2019,,INDEX
2019,,INDEX
2020,0.136,INDEX
2020,,INDEX
2020,,INDEX
2020,,INDEX
2020,,INDEX
2020,,INDEX
2021,,INDEX
2021,,INDEX
2021,,INDEX
2021,,INDEX
2021,,INDEX
2021,,INDEX
