Year,Value,Units
2000,40,PERCENT
2001,30,PERCENT
2002,38,PERCENT
2003,41,PERCENT
2004,54,PERCENT
2005,60,PERCENT
2006,62,PERCENT
2007,70,PERCENT
2008,65,PERCENT
2009,72,PERCENT
2010,60,PERCENT
2011,74,PERCENT
2011,9,PERCENT
2012,75,PERCENT
2012,13,PERCENT
2013,68,PERCENT
2013,29,PERCENT
2014,68,PERCENT
2014,56,PERCENT
2015,63,PERCENT
2015,66,PERCENT
2016,57,PERCENT
2016,58,PERCENT
2017,57,PERCENT
2017,58,PERCENT
2018,57,PERCENT
2018,58,PERCENT
2019,57,PERCENT
2019,58,PERCENT
2020,57,PERCENT
2020,58,PERCENT
