Value,Disaggregation combinations using this value,Number of indicators
ALLAREA,33,5
AUTRES URBAINS,1,1
BAS UELE,1,1
CITY,1,1
ENS URBAIN,1,1
EQUATEUR,1,1
HAUT KATANGA,1,1
HAUT LOMAMI,1,1
HAUT UELE,1,1
ITURI,1,1
KASAI CENTRAL,1,1
KASAI ORIENTAL,1,1
KASAI,1,1
KINSHASA,1,1
KONGO CENTRAL,1,1
KWANGO,1,1
KWILU,1,1
LOMAMI,1,1
LUALABA,1,1
MAI-NDOMBE,1,1
MANIEMA,1,1
MONGALA,1,1
NORD KIVU,1,1
NORD UBANGI,1,1
RDC,1,1
RURAL,41,11
SANKURU,1,1
SUD KIVU,1,1
SUD UBANGI,1,1
TANGANYIKA,1,1
TSHOPO,1,1
TSHUAPA,1,1
TSUB,1,1
URBAN,40,11
